phrase,df_total,df_Belek,df_Algarve,prev_Belek,prev_Algarve,logodds_B_vs_A,z_B_vs_A,lift_Belek,with_B,without_B,lift_Algarve,with_A,without_A
facility in the room,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,0.2956,1,2517,-0.6351,8,2637
family holiday,58,20,38,0.007943,0.014367,-0.6397869926463002,-2.3725004282848867,-0.1054,20,2498,0.005,38,2607
family pool,13,12,1,0.004766,0.000378,2.2468909460397253,2.40678341677753,0.1294,12,2506,0.7421,1,2644
family resort,11,1,10,0.000397,0.003781,-2.1465806765845166,-2.245063246106674,-2.7056,1,2517,-0.3596,10,2635
family suite,29,23,6,0.009134,0.002268,1.2508400132641775,2.8394226580670927,0.1227,23,2495,-0.0918,6,2639
family with child,12,11,1,0.004369,0.000378,2.17629604522636,2.3043930805809065,0.0228,11,2507,-0.2583,1,2644
fantastic holiday,28,22,6,0.008737,0.002268,1.2097111432754657,2.7293185457645226,0.2981,22,2496,0.5764,6,2639
fantastic hotel,42,31,11,0.012311,0.004159,0.9641937433233583,2.8344579476240908,0.1685,31,2487,0.7449,11,2634
fantastic service,18,15,3,0.005957,0.001134,1.4937578051217333,2.4827771239543854,0.2972,15,2503,0.7426,3,2642
fantastic time,21,17,4,0.006751,0.001512,1.3457147234154414,2.529017603999119,0.179,17,2501,0.4925,4,2641
few day,51,16,35,0.006354,0.013233,-0.7738041108035523,-2.6322169267140705,-0.2058,16,2502,-0.1748,35,2610
few people,21,16,5,0.006354,0.00189,1.0830231071089713,2.1878120164773196,-0.2687,16,2502,-0.2587,5,2640
fish restaurant,38,30,8,0.011914,0.003025,1.2306244773450583,3.2159939959377253,0.0292,30,2488,-0.1336,8,2637
food choice,30,23,7,0.009134,0.002647,1.1077774586514373,2.6580104872748844,-0.0967,23,2495,-0.1157,7,2638
food in the buffet,15,15,0,0.005957,0.0,3.8860757071539513,2.130837305925745,-0.4405,15,2503,,0,0
food in the main restaurant,27,24,3,0.009531,0.001134,1.9092436347449873,3.363249390098475,-0.0803,24,2494,-0.9259,3,2642
food quality,33,26,7,0.010326,0.002647,1.2217141858497431,2.982570518399505,-0.1289,26,2492,-0.2589,7,2638
free drink,11,10,1,0.003971,0.000378,2.0977021925884305,2.1939422753730566,-0.7073,10,2508,0.7421,1,2644
free entry,11,10,1,0.003971,0.000378,2.0977021925884305,2.1939422753730566,0.2967,10,2508,0.7421,1,2644
free shuttle bus,24,7,17,0.00278,0.006427,-0.8726462640356925,-1.998455937445763,0.0098,7,2511,0.2729,17,2628
front desk,52,13,39,0.005163,0.014745,-1.0718583445067162,-3.4581786419376965,-0.7082,13,2505,0.1023,39,2606
garden room,24,5,19,0.001986,0.007183,-1.2915996319374194,-2.6732957552936303,-0.1047,5,2513,0.005,19,2626
garden villa,15,3,12,0.001191,0.004537,-1.3388133347331053,-2.1614176824204026,0.2958,3,2515,-0.3431,12,2633
golf clubhouse,20,1,19,0.000397,0.007183,-2.647708180014132,-3.0345571245086087,0.2956,1,2517,0.058,19,2626
golf driving range,17,2,15,0.000794,0.005671,-1.9022699717735705,-2.714406130740591,0.2957,2,2516,0.1426,15,2630
golf holiday,41,34,7,0.013503,0.002647,1.4677818164662781,3.712832922013022,-0.1179,34,2484,0.0276,7,2638
golf hotel,78,73,5,0.028991,0.00189,2.4026749960306972,5.914239121793624,-0.0343,73,2445,-0.8598,5,2640
good breakfast,20,4,16,0.001589,0.006049,-1.3388735447984406,-2.4959024040032034,0.0455,4,2514,-0.134,16,2629
good choice,36,11,25,0.004369,0.009452,-0.8099482529911146,-2.2995090000087726,0.1142,11,2507,0.022,25,2620
good deal,17,4,13,0.001589,0.004915,-1.1463337371281277,-2.075911176476663,0.2959,4,2514,-0.1049,13,2632
good experience,27,23,4,0.009134,0.001512,1.619568073721127,3.163235938062103,-0.0528,23,2495,-1.2601,4,2641
good idea,15,3,12,0.001191,0.004537,-1.3388133347331053,-2.1614176824204026,-0.3716,3,2515,-0.0083,12,2633
good location,20,5,15,0.001986,0.005671,-1.071535780064302,-2.144025933894071,-0.1047,5,2513,0.1426,15,2630
good point,17,4,13,0.001589,0.004915,-1.1463337371281277,-2.075911176476663,-0.4553,4,2514,-1.1098,13,2632
good pool,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,0.2956,1,2517,-0.259,8,2637
good restaurant,34,7,27,0.00278,0.010208,-1.3055046704268527,-3.2036629403903425,0.153,7,2511,0.4501,27,2618
good service,86,61,25,0.024226,0.009452,0.8286953121035552,3.589286703846385,0.0172,61,2457,0.1431,25,2620
good start,15,12,3,0.004766,0.001134,1.289932850860163,2.082503662498944,-0.2892,12,2506,-0.5922,3,2642
good test,14,3,11,0.001191,0.004159,-1.2584373904882575,-2.00765535134029,-0.7054,3,2515,-0.2593,11,2634
good value,66,15,51,0.005957,0.019282,-1.1889092574687883,-4.196440687369218,-0.1052,15,2503,0.1166,51,2594
great beach,17,4,13,0.001589,0.004915,-1.1463337371281277,-2.075911176476663,-0.2049,4,2514,0.2816,13,2632
great breakfast,15,2,13,0.000794,0.004915,-1.7771111997709887,-2.4916981164915164,-0.7051,2,2516,0.5135,13,2632
great deal,12,1,11,0.000397,0.004159,-2.2251750291286765,-2.3561490870936175,0.2956,1,2517,0.2884,11,2634
great fun,52,34,18,0.013503,0.006805,0.585257916898346,2.0566774439183595,0.1803,34,2484,0.2434,18,2627
great location,42,13,29,0.005163,0.010964,-0.7923237354145272,-2.4376562306322067,-0.0896,13,2505,0.1573,29,2616
great place,101,41,60,0.016283,0.022684,-0.39030690027161885,-1.968015793470217,0.1516,41,2477,0.3497,60,2585
great pool,17,2,15,0.000794,0.005671,-1.9022699717735705,-2.714406130740591,-0.7051,2,2516,0.2096,15,2630
great restaurant,18,3,15,0.001191,0.005671,-1.5426397888388923,-2.5640239435728995,-0.3716,3,2515,0.1426,15,2630
great service,96,69,27,0.027403,0.010208,0.872509189536185,3.957010495047465,0.1548,69,2449,0.3378,27,2618
ground floor apartment,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,0.2956,1,2517,-0.0082,8,2637
guest relation,106,99,7,0.039317,0.002647,2.3784844500190463,6.895790716162038,-0.071,99,2419,-0.1157,7,2638
half board,46,3,43,0.001191,0.016257,-2.4367623133336096,-4.633827659193494,-0.0379,3,2515,-0.3098,43,2602
half hour,16,3,13,0.001191,0.004915,-1.412328373017397,-2.3044977968972025,-1.0391,3,2515,-0.3368,13,2632
happy hour,17,1,16,0.000397,0.006049,-2.520506841304913,-2.8123166976972747,0.2956,1,2517,0.1175,16,2629
health club,14,2,12,0.000794,0.004537,-1.7062078349771799,-2.3688393427670924,-0.2047,2,2516,0.1592,12,2633
heated pool,28,20,8,0.007943,0.003025,0.8511895013727075,2.0938284312073057,-0.0046,20,2498,0.4933,8,2637
high expectation,13,11,2,0.004369,0.000756,1.579582766846313,2.1694974507384535,-0.1598,11,2507,0.242,2,2643
high level,31,29,2,0.011517,0.000756,2.3965683108780977,3.7272872466929465,0.1245,29,2489,0.7423,2,2643
hole par,17,0,17,0.0,0.006427,-3.9349960111524025,-2.2970061720788406,,0,0,-0.2007,17,2628
home from home,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,0.2956,1,2517,0.744,8,2637
